Concept,Notes
"The Fisher effect: nominal interest rate = real interest rate + expected inflation; in the long run, monetary expansion raises nominal rates.",Fisher effect: nominal rate = real rate + expected inflation; LR monetary expansion → nominal rate ↑
"Dropout regularization randomly sets neural network activations to zero during training, preventing co-adaptation of neurons and reducing overfitting.",dropout: random activation → 0 during training; prevents co-adaptation; reduces overfitting
Batch normalization normalizes layer inputs to zero mean and unit variance per mini-batch; adds learnable scale (γ) and shift (β) parameters.,"batch norm: normalize layer input per mini-batch (μ=0, σ²=1); learnable γ (scale) + β (shift)"
The transformer's positional encoding adds sinusoidal signals (sin/cos at varying frequencies) to token embeddings to inject sequence order information.,"positional encoding: sinusoidal (sin/cos, varying freq) added to embeddings; injects sequence order"
Cross-entropy loss: L = −Σ y_i log(ŷ_i); penalizes confident wrong predictions heavily; standard for classification tasks.,cross-entropy: L = −Σ y_i log(ŷ_i); penalizes confident errors; standard classification loss
Beam search with width k keeps top-k partial sequences at each decoding step; trades off computation for higher quality output vs. greedy search.,beam search k: keep top-k partials per step; quality > greedy; cost > greedy; k=4 typical
"The vanishing gradient problem: gradients shrink exponentially through deep layers during backprop; mitigated by ReLU, residual connections, and LSTMs.","vanishing gradient: backprop gradients → 0 in deep layers; fixes: ReLU, residual connections, LSTM"
"Transfer learning: pretrain on large dataset, fine-tune on target task; lower layers learn general features; upper layers specialize.",transfer learning: pretrain → fine-tune; lower layers = general features; upper = task-specific
Attention is all you need: transformers replace RNNs entirely with self-attention; parallelizable training; O(n²) attention complexity per layer.,transformer: replaces RNN w/ self-attention; parallelizable; O(n²) attention per layer; Vaswani 2017
BLEU score measures n-gram overlap between generated and reference text; precision-based; brevity penalty discourages short outputs.,BLEU: n-gram overlap gen vs. ref; precision-based; brevity penalty for short outputs
ROUGE metrics: ROUGE-N = n-gram recall vs. reference; ROUGE-L = longest common subsequence; used to evaluate summarization/note quality.,ROUGE: ROUGE-N = n-gram recall; ROUGE-L = LCS; measures summarization/note quality
The encoder-decoder architecture: encoder maps input sequence to context vectors; decoder autoregressively generates output tokens conditioned on context.,"encoder-decoder: encoder → context vectors; decoder = autoregressive, conditioned on context"
Byte-pair encoding (BPE) tokenization: iteratively merges most frequent character pairs into subword units; balances vocabulary size and coverage.,BPE: iteratively merge frequent char pairs → subwords; balances vocab size ↔ coverage
Label smoothing replaces hard one-hot targets with a soft distribution (ε mass on non-targets); reduces overconfidence and improves generalization.,label smoothing: soft targets (ε on non-targets); reduces overconfidence; improves generalization; ε=0.1 typical
The Adam optimizer combines momentum and RMSprop: maintains first and second moment estimates of gradients; adaptive per-parameter learning rate.,"Adam: momentum + RMSprop; 1st (m) + 2nd (v) moment estimates; adaptive per-param lr; β₁=0.9, β₂=0.999"
"Warmup learning rate schedule: start from near-zero lr, linearly increase to target lr over warmup steps, then decay; prevents early instability.","lr warmup: 0 → target lr over warmup steps, then decay; prevents early training instability"
"Residual connections (skip connections) allow gradients to flow directly through the network, mitigating vanishing gradients in deep architectures.",residual/skip connections: gradient highway through network; mitigates vanishing gradient in deep models
"Multi-head attention splits Q, K, V into h heads, computes attention in parallel subspaces, then concatenates; captures diverse relational patterns.",multi-head attn: split Q/K/V into h heads; parallel attention → concatenate; captures diverse patterns
The feed-forward sublayer in transformers applies two linear projections with a ReLU/GeLU nonlinearity; dimension typically expands 4× inside.,FFN sublayer: linear → ReLU/GeLU → linear; inner dim = 4×d_model; per-position
Masked self-attention in the decoder prevents attending to future tokens during training; achieved by setting future positions to −∞ before softmax.,masked self-attn: future tokens → −∞ before softmax; prevents decoder from seeing future
"Kant's categorical imperative: act only according to the maxim you could universalize; also, treat humanity never merely as a means but always as an end.",Kant categorical imperative: universalizable maxim; never treat humanity merely as means
Utilitarianism (Bentham/Mill): the right action maximizes total utility (happiness/welfare); act vs. rule utilitarianism differ in unit of evaluation.,utilitarianism: maximize total utility; act util = per action; rule util = per rule; Bentham/Mill
"Kuhn's paradigm shifts: normal science operates within paradigms; anomalies accumulate until a revolution replaces the paradigm (e.g., Copernican, quantum).",Kuhn: normal science = paradigm-bound; anomalies → revolution → new paradigm; Copernican/quantum examples
"Popper's falsifiability: a theory is scientific only if it makes predictions that could, in principle, be falsified; unfalsifiable theories are not science.",Popper: scientific = falsifiable; if no conceivable disproof → not science; demarcation criterion
Rawls' veil of ignorance: principles of justice chosen without knowing one's place in society would be fair; yields difference principle (benefit the worst-off).,Rawls: veil of ignorance → choose principles w/o knowing social position; difference principle = benefit worst-off
"The Malthusian trap: population grows geometrically while food supply grows arithmetically; inevitable mass poverty unless checked by famine, disease, or war.","Malthusian trap: pop grows geometrically, food arithmetically → inevitable poverty; checks = famine/disease/war"
"The placebo effect: inert treatment produces measurable therapeutic benefit through expectation, conditioning, and neurobiological mechanisms (endorphin release).","placebo effect: inert treatment → real benefit; mechanisms: expectation, conditioning, endorphins"
"Cognitive behavioral therapy (CBT): identifies and restructures maladaptive thought patterns; evidence-based for depression, anxiety, PTSD; structured sessions.",CBT: identify + restructure maladaptive thoughts; evidence-based for depression/anxiety/PTSD; structured
The Dunning-Kruger effect: low-competence individuals overestimate their ability; high-competence individuals underestimate; meta-cognitive blindspot.,Dunning-Kruger: low competence → overestimate; high competence → underestimate; metacognitive blindspot
CRISPR base editing allows single-nucleotide changes without double-strand breaks; deaminase converts C→U or A→I; more precise than standard Cas9.,CRISPR base editing: single-nuc change w/o DSB; deaminase: C→U or A→I; more precise than Cas9
The butterfly effect (chaos theory): small initial differences in conditions can produce vastly different outcomes in nonlinear dynamical systems.,butterfly effect: small initial Δ → large outcome divergence; nonlinear dynamical systems; chaos theory
Dark matter makes up ~27% of the universe's energy density; inferred from galaxy rotation curves and gravitational lensing; no EM interaction detected.,dark matter: ~27% universe energy; inferred from rotation curves + lensing; no EM interaction
"The Turing test: if a machine can convince a human interrogator it is human via text conversation, it demonstrates intelligent behavior (behavioral criterion).",Turing test: machine indistinguishable from human in text chat → intelligent; behavioral criterion
"Horizontal gene transfer in bacteria: plasmid conjugation, transduction (phage), transformation (naked DNA uptake); enables rapid spread of antibiotic resistance.",HGT bacteria: conjugation (plasmid) + transduction (phage) + transformation (naked DNA); spreads antibiotic resistance
